policy,throughput_tasks_per_s,mean_latency_ms,p95_latency_ms,mean_power_impact,scheduler_mean_us,migrations_total,gpu_chunks,cpu_chunks
caphs,8.007250555173504,1806.8991273278389,3295.659948,77.88777777777777,29.347887790322886,120.75,1104.3333333333333,1429.75
fcfs,2.2926753069722454,8621.95207317703,11845.052308999999,89.90632716820217,4.744129653777286,0.0,0.0,2534.0833333333335
fixed_priority,6.846464314014703,2284.2131144293267,3700.284132,271.8277777777778,8.807020861780087,0.0,674.3333333333334,1859.75
least_loaded,4.741880901615008,2813.7977882673536,5360.07839925,404.34988095238094,8.859661260740143,7.25,567.5833333333334,1966.5
work_stealing,4.599556029501507,3272.91699188022,5426.378784583333,393.46406746031744,10.213895204913477,316.4166666666667,530.25,2003.8333333333333
